@relation yelp
@attribute text string
@attribute id numeric
@attribute sentiment** {positive, negative, neutral}
@data
"buck food question end definit impress there section asian indian mexican smoke salmon sushi werent good bellagio better walk minut just look select peopl definit walk end strip tri buffet line super long mayb hour wait definit worth dessert orgasm",52447,neutral
"lv solid worthi comfort food chang dine weekend debaucheri juli",68745,neutral
"great morn spot great servic amber ryley attent help food came fast correct present excel delici food decent price",69711,neutral
"time good reason price nice special fish select oyster awesom enjoy cold dish time tri live lobster uni",35164,neutral
"recommend parti tri good time use team build activ blast matt great help friend",31360,neutral
"said minut current pm just arriv bad attitud busi disgrac",67627,neutral
"starsaft read review friend recommend tri pork chop submarin tomato sauc soft pork bone noodl soup didnt like bread bit cold stale toast bit warm crispi textur great idea came huge portion like pork chop bone sure make hungri teen happi soup base good soft pork bone soft cook like idea pick side veggi type soup base noodl sure serv hot pot old hot pot heat element restaur tabl make comfort sit knee hit time dont think crave eat submarin sure noodl",39339,neutral
"follow reason did like sushi ate sushi rm seafood hook bad experi sushi prior give rm tri yes expens time staff friend sit bar sushi review base strict rm roll amaz far away best tast sushi",61907,neutral
"food got delici slider beef cheek stew slider serv whip aioli solid juici slidersbeef cheek stew decad jus meat tender butcher heart servic absolut atroci server aloof did obvious busser hadnt train buddi chew piec steak busser come ask meat plate boot nice beer list yummi pretzel bread return hope better servic make final judgment",37550,neutral
"bc phoenix except pizza place piazzabianco locat great near resort quick way feed famili peopl work clear glass dont bother great help order order differ pizza poor salad look larg main green lack substanc overal come near resort easi kid",44796,neutral
"hour line mccarron rental car bus drive car rent fox locat conveni rental agenc shuttl liter took hour custom servic rep peopl cut line fox employe fail notic irrit employe shed wait minut nice cluster car dirti cheap allow extra hour return car",36976,neutral
"review woohoo showmar deserv just locat yep chain small local charlott area chain tag line casual dine fast disappoint greek base dish perfect cross line american food eas fav grill chicken chef salad huge old fashion pita burger menu vari tire certain dish price great eaten half locat feel comfort give shomar blanket rate line great food servic great price enjoy",68899,neutral
"actual servic receiv setup servic use uhaul onlin check doe prioriti servic locat cut time spent counter pre check line wait order arriv onlin check earli arriv minut store open peopl ahead time pull truck reserv reserv equip provid guarante just request peopl line think uhaul like airlin rental car hotel pre check line go offer pre check servic mr davi nice michael show truck just busi store earli extra time",55569,neutral
"farmersmarketsaturday werent work singl saturday farmer market friend stand choos far phoenix public market food great pork chile verd pot pie great flavor chile verd remind mother home cook saturday",7366,neutral
"classic vibe cool place secur intrus pool spa tub peopl reason nake number time realli look forward encount separ area coupl addit privat public room",33952,neutral
"scalefood servic locat clean friendlyget wing ham chees realli good fri huge wait tri roast chicken notic wood oven hidden great place need experi new flavor littl cultur",27689,neutral
"time vegan restaur thought miss meat realli didnt order queso dip bianca pizza matcha buckwheat noodl parmesan fri amaz queso dip soo addict soba noodl flavour sesam soy dress pizza good lot peopl comment price honest thought food worth restaur cute instagram abl servic attent need definit come tri cocktail",55763,neutral
"food special price ridicul high last servic terribl dri food dissatisfi spent manag look train custom servic smile extra step goe long way provid good servic good tip serious work way",29553,neutral
"best alright time hous special pho larg huge bowl noodl disappoint meat piec type meat larg size expect bit soup flavour hot yumm spring roll bean curd shrimp grill pork vermicelli huge bowl noodl good top fresh lettuc bean sprout good portion top pretti good especi bean curd shrimp servic quick tabl use bit thorough clean place place viet food super conveni locat open late food pretti good",49221,neutral
"round excel restaur great meal tarbel ambianc servic nice food truli wonder famous spaghetti trust main cours special ravioli tasti cook perfect ingredi spice just explod palat prior beefsteak tomato salad hous salad green fresh crispi tasti nice wine list split bourbon chocol bread pud finish even high recommend fine dine phoenix",56576,neutral
"best wash come free air freshen ride tunnel like minut car pretti clean dri get dont interior clean",8533,neutral
"lunchtoronto lunchbox sushitoronto yelptoi huge fan decent sushi price pay set salmon avocado roll small piec miso soup think miso free grab small patio want sit eat havent seen peopl make use readi sushi bunker crowd your look wait max minut anki tip want chopstick littl bowl napkin grab pay staff wont bag forget end chopstick napkin knock edamam isnt great",7397,neutral
"time hubbi oyster poor boy fish taco great food great place good bad good ish tri broil fish shrimp basket",35460,neutral
"goin rosati plus year order crust half pepperoni half shroom oliv specfic ask shroom oliv receiv shroom disc boatload oliv half pepperoni italian beef slice pile high pile high absolut tast bland later plus tip rosati did progress wors today jan lousi pizza fridg",30184,neutral
