@relation 'yelp-weka.filters.unsupervised.attribute.StringToWordVector-R1-W2000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \" \\r\\n\\t.,;:\\\'\\\"()?!\"'

@attribute id numeric
@attribute sentiment** {positive,negative,neutral}

@data
{0 52447,1 ?}
{0 68745,1 ?}
{0 69711,1 ?}
{0 35164,1 ?}
{0 31360,1 ?}
{0 67627,1 ?}
{0 39339,1 ?}
{0 61907,1 ?}
{0 37550,1 ?}
{0 44796,1 ?}
{0 36976,1 ?}
{0 68899,1 ?}
{0 55569,1 ?}
{0 7366,1 ?}
{0 33952,1 ?}
{0 27689,1 ?}
{0 55763,1 ?}
{0 29553,1 ?}
{0 49221,1 ?}
{0 56576,1 ?}
{0 8533,1 ?}
{0 7397,1 ?}
{0 35460,1 ?}
{0 30184,1 ?}
{0 12470,1 ?}
{0 72201,1 ?}
{0 50617,1 ?}
{0 2492,1 ?}
{0 72272,1 ?}
{0 11160,1 ?}
{0 36442,1 ?}
{0 35346,1 ?}
{0 60641,1 ?}
{0 58771,1 ?}
{0 17224,1 ?}
{0 60405,1 ?}
{0 25912,1 ?}
{0 58202,1 ?}
{0 64952,1 ?}
{0 67485,1 ?}
{0 32201,1 ?}
{0 23190,1 ?}
{0 9696,1 ?}
{0 43799,1 ?}
{0 70285,1 ?}
{0 41060,1 ?}
{0 61279,1 ?}
{0 30498,1 ?}
{0 8637,1 ?}
{0 2798,1 ?}
{0 67850,1 ?}
{0 12286,1 ?}
{0 70932,1 ?}
{0 56124,1 ?}
{0 10,1 ?}
{0 31677,1 ?}
{0 54622,1 ?}
{0 56208,1 ?}
{0 697,1 ?}
{0 59680,1 ?}
{0 40405,1 ?}
{0 28040,1 ?}
{0 18063,1 ?}
{0 14422,1 ?}
{0 2597,1 ?}
{0 47039,1 ?}
{0 60892,1 ?}
{0 56316,1 ?}
{0 5070,1 ?}
{0 2778,1 ?}
{0 38016,1 ?}
{0 43338,1 ?}
{0 29186,1 ?}
{0 10188,1 ?}
{0 17528,1 ?}
{0 36838,1 ?}
{0 19314,1 ?}
{0 54533,1 ?}
{0 41614,1 ?}
{0 40978,1 ?}
{0 57212,1 ?}
{0 36300,1 ?}
{0 31957,1 ?}
{0 14426,1 ?}
{0 69791,1 ?}
{0 47309,1 ?}
{0 42406,1 ?}
{0 26856,1 ?}
{0 46338,1 ?}
{0 43969,1 ?}
{0 53662,1 ?}
{0 36683,1 ?}
{0 49778,1 ?}
{0 66575,1 ?}
{0 44927,1 ?}
{0 11389,1 ?}
{0 10193,1 ?}
{0 65687,1 ?}
{0 25550,1 ?}
{0 5355,1 ?}
{0 24191,1 ?}
{0 45221,1 ?}
{0 43655,1 ?}
{0 48161,1 ?}
{0 35448,1 ?}
{0 12447,1 ?}
{0 16691,1 ?}
{0 41936,1 ?}
{0 29043,1 ?}
{0 36680,1 ?}
{0 40883,1 ?}
{0 28929,1 ?}
{0 58891,1 ?}
{0 29370,1 ?}
{0 56061,1 ?}
{0 14473,1 ?}
{0 25395,1 ?}
{0 10941,1 ?}
{0 70933,1 ?}
{0 35499,1 ?}
{0 40917,1 ?}
{0 66898,1 ?}
{0 39,1 ?}
{0 70349,1 ?}
{0 4219,1 ?}
{0 39984,1 ?}
{0 62295,1 ?}
{0 13799,1 ?}
{0 39838,1 ?}
{0 27021,1 ?}
{0 11934,1 ?}
{0 36948,1 ?}
{0 11079,1 ?}
{0 34178,1 ?}
{0 43065,1 ?}
{0 59406,1 ?}
{0 69725,1 ?}
{0 42550,1 ?}
{0 7035,1 ?}
{0 27113,1 ?}
{0 52606,1 ?}
{0 5160,1 ?}
{0 18001,1 ?}
{0 9175,1 ?}
{0 54138,1 ?}
{0 71661,1 ?}
{0 68292,1 ?}
{0 16807,1 ?}
{0 57988,1 ?}
{0 37714,1 ?}
{0 32863,1 ?}
{0 53503,1 ?}
{0 4574,1 ?}
{0 30816,1 ?}
{0 50829,1 ?}
{0 37846,1 ?}
{0 8865,1 ?}
{0 70487,1 ?}
{0 55855,1 ?}
{0 9057,1 ?}
{0 17735,1 ?}
{0 69277,1 ?}
{0 40807,1 ?}
{0 8397,1 ?}
{0 59664,1 ?}
{0 8671,1 ?}
{0 35650,1 ?}
{0 29450,1 ?}
{0 46035,1 ?}
{0 50325,1 ?}
{0 16226,1 ?}
{0 66612,1 ?}
{0 51237,1 ?}
{0 61871,1 ?}
{0 52835,1 ?}
{0 17408,1 ?}
{0 33561,1 ?}
{0 63274,1 ?}
{0 43019,1 ?}
{0 61015,1 ?}
{0 30968,1 ?}
{0 31132,1 ?}
{0 18213,1 ?}
{0 21575,1 ?}
{0 8284,1 ?}
{0 68041,1 ?}
{0 25975,1 ?}
{0 67392,1 ?}
{0 35475,1 ?}
{0 31044,1 ?}
{0 66090,1 ?}
{0 53225,1 ?}
{0 7358,1 ?}
{0 63381,1 ?}
{0 4410,1 ?}
{0 5072,1 ?}
{0 28435,1 ?}
{0 61430,1 ?}
{0 7919,1 ?}
{0 6498,1 ?}
{0 8167,1 ?}
{0 62527,1 ?}
{0 24843,1 ?}
{0 10709,1 ?}
{0 68092,1 ?}
{0 23253,1 ?}
{0 62937,1 ?}
{0 54859,1 ?}
{0 25008,1 ?}
{0 39099,1 ?}
{0 18819,1 ?}
{0 22460,1 ?}
{0 47596,1 ?}
{0 71717,1 ?}
{0 54768,1 ?}
{0 46561,1 ?}
{0 64529,1 ?}
{0 56485,1 ?}
{0 8617,1 ?}
{0 27971,1 ?}
{0 29317,1 ?}
{0 36222,1 ?}
{0 34273,1 ?}
{0 24942,1 ?}
{0 22972,1 ?}
{0 39422,1 ?}
{0 1937,1 ?}
{0 3232,1 ?}
{0 71973,1 ?}
{0 58853,1 ?}
{0 40715,1 ?}
{0 8131,1 ?}
{0 52390,1 ?}
{0 38868,1 ?}
{0 62741,1 ?}
{0 56566,1 ?}
{0 14887,1 ?}
{0 17866,1 ?}
{0 15405,1 ?}
{0 39891,1 ?}
{0 37491,1 ?}
{0 69886,1 ?}
{0 25282,1 ?}
{0 69712,1 ?}
{0 58787,1 ?}
